longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,482753.64,<1H OCEAN
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,194320.02,<1H OCEAN
-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,201112.0,<1H OCEAN
-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,172124.0,<1H OCEAN
-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,214900.0,NEAR OCEAN
-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,163906.0,<1H OCEAN
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,119128.0,NEAR BAY
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,421041.21,NEAR OCEAN
-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,282124.03,<1H OCEAN
-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,254614.06,NEAR OCEAN
-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,420462.35,<1H OCEAN
-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,71344.0,INLAND
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,265755.0,INLAND
-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,255790.0,<1H OCEAN
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,232088.0,<1H OCEAN
-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,126527.0,INLAND
-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,96587.0,INLAND
-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,94180.0,INLAND
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,346887.05,<1H OCEAN
-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,374046.1,<1H OCEAN
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,199964.0,<1H OCEAN
-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,310402.0,<1H OCEAN
-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,217079.01,<1H OCEAN
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,69880.0,INLAND
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,110818.0,INLAND
-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,66221.0,INLAND
-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,317518.06,<1H OCEAN
-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,171052.0,INLAND
-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,78108.01,INLAND
-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,140559.0,INLAND
